"year","iddist","pop_landscan"
"2012",160602,1020.5
"2013",160602,1052
"2014",160602,1061.5
"2015",160602,1025.7
"2016",160602,984.5
"2017",160602,992.1
"2018",160602,831.6
"2019",160602,762.1
"2020",160602,370.8
"2021",160602,795.6
"2009",160604,5298
"2010",160604,5411.3
"2011",160604,5172.4
"2012",160604,3944.3
"2013",160604,5285.4
"2014",160604,5311.2
"2015",160604,5191.4
"2016",160604,5039.3
"2017",160604,5065.3
"2018",160604,3532.7
"2019",160604,3309.2
"2020",160604,6778.8
"2021",160604,6266.3
"2009",160211,4408.1
"2010",160211,4468.4
"2011",160211,4575
"2012",160211,4140.7
"2013",160211,4988.2
"2014",160211,5033.5
"2015",160211,5030.3
"2016",160211,5244.1
"2017",160211,5287.8
"2018",160211,5769.2
"2019",160211,6416.6
"2020",160211,5178.4
"2021",160211,5440.8
"2009",160201,72294
"2010",160201,73166.6
"2011",160201,75129.3
"2012",160201,78659.7
"2013",160201,63763.2
"2014",160201,64385.4
"2015",160201,64516.5
"2016",160201,64148
"2017",160201,64748.4
"2018",160201,72423.6
"2019",160201,76899.3
"2020",160201,72995.7
"2021",160201,72801.9
"2009",160509,1244.4
"2010",160509,1260.2
"2011",160509,1165.1
"2012",160509,1072.4
"2013",160509,1309.5
"2014",160509,1337.3
"2015",160509,1230.5
"2016",160509,1135.6
"2017",160509,1137.2
"2018",160509,894.7
"2019",160509,693.6
"2020",160509,613.7
"2021",160509,542.2
"2009",160508,1673.1
"2010",160508,1699.8
"2011",160508,1547.9
"2012",160508,1069.6
"2013",160508,1448
"2014",160508,1462.4
"2015",160508,4150.2
"2016",160508,7552.5
"2017",160508,7644.4
"2018",160508,5798.8
"2019",160508,4924.3
"2020",160508,1903.1
"2021",160508,1626.8
"2009",160504,4621.9
"2010",160504,4678.7
"2011",160504,4302.5
"2012",160504,4232.2
"2013",160504,5655.3
"2014",160504,5719.2
"2015",160504,5250.4
"2016",160504,4770.7
"2017",160504,4759.5
"2018",160504,3806.8
"2019",160504,4833.4
"2020",160504,4633.4
"2021",160504,5800.8
"2009",160210,2183.6
"2010",160210,2213.1
"2011",160210,2225.7
"2012",160210,1884
"2013",160210,2210.8
"2014",160210,2241
"2015",160210,2265.2
"2016",160210,2226.4
"2017",160210,2254.5
"2018",160210,2862.2
"2019",160210,4712.9
"2020",160210,3711.6
"2021",160210,4736.9
"2009",160503,1495.3
"2010",160503,1517.6
"2011",160503,1397.5
"2012",160503,1659.6
"2013",160503,1523.1
"2014",160503,1537.2
"2015",160503,1429.8
"2016",160503,1295.3
"2017",160503,1303.7
"2018",160503,1129.7
"2019",160503,1199.2
"2020",160503,1927.8
"2021",160503,1848.5
"2009",160506,2698.4
"2010",160506,2719.7
"2011",160506,2407.9
"2012",160506,1172.8
"2013",160506,3157.6
"2014",160506,3178.1
"2015",160506,2974.5
"2016",160506,2638.2
"2017",160506,2658.2
"2018",160506,522.3
"2019",160506,2407.2
"2020",160506,3031.3
"2021",160506,4371
"2009",160605,14493.7
"2010",160605,14665.3
"2011",160605,15574
"2012",160605,15198.9
"2013",160605,16269.6
"2014",160605,16437.6
"2015",160605,18855.1
"2016",160605,21217.6
"2017",160605,21428.6
"2018",160605,17868.7
"2019",160605,20278.3
"2020",160605,14752.4
"2021",160605,17698.2
"2009",160112,28610
"2010",160112,28935.3
"2011",160112,27362.2
"2012",160112,29986.8
"2013",160112,29276.1
"2014",160112,29568.2
"2015",160112,29834.5
"2016",160112,29958.5
"2017",160112,30240.5
"2018",160112,28766.1
"2019",160112,31086.1
"2020",160112,28937.9
"2021",160112,30281
"2009",160104,2811.5
"2010",160104,2837.4
"2011",160104,2702.9
"2012",160104,1842.1
"2013",160104,3891
"2014",160104,3925.2
"2015",160104,3964.3
"2016",160104,3957.1
"2017",160104,3999.1
"2018",160104,10988.2
"2019",160104,15086.2
"2020",160104,13685.6
"2021",160104,16746.3
"2009",160108,64502.6
"2010",160108,65237
"2011",160108,61684.7
"2012",160108,62229.1
"2013",160108,106087.6
"2014",160108,107137.3
"2015",160108,108114
"2016",160108,108551.4
"2017",160108,109576.3
"2018",160108,97605
"2019",160108,92267.8
"2020",160108,89616.5
"2021",160108,84617.2
"2009",160301,18528.3
"2010",160301,18767.1
"2011",160301,16577.4
"2012",160301,17513.7
"2013",160301,16499.4
"2014",160301,16765.5
"2015",160301,16894.3
"2016",160301,16252.4
"2017",160301,16487.6
"2018",160301,16548.8
"2019",160301,16222.4
"2020",160301,18976.1
"2021",160301,17724
"2009",160103,5307.3
"2010",160103,5345.8
"2011",160103,5142
"2012",160103,3301.3
"2013",160103,4689.7
"2014",160103,4747.3
"2015",160103,4763.3
"2016",160103,4770.6
"2017",160103,4821.1
"2018",160103,8390.9
"2019",160103,13013.9
"2020",160103,10903.6
"2021",160103,15706.4
"2009",160404,14922.3
"2010",160404,15041
"2011",160404,14648.7
"2012",160404,15479.5
"2013",160404,14330.5
"2014",160404,14474.1
"2015",160404,14335.2
"2016",160404,14033.1
"2017",160404,14160.4
"2018",160404,11381.6
"2019",160404,11167.5
"2020",160404,15246.2
"2021",160404,14661.9
"2009",160401,12704.9
"2010",160401,12836.1
"2011",160401,12120.9
"2012",160401,15501.2
"2013",160401,12181.1
"2014",160401,12319.6
"2015",160401,12715.7
"2016",160401,13583.6
"2017",160401,13689.3
"2018",160401,12403.2
"2019",160401,12590.5
"2020",160401,13360.6
"2021",160401,14405.8
"2009",160705,10990.2
"2010",160705,11053.1
"2011",160705,9223.3
"2012",160705,8404.7
"2013",160705,9455.8
"2014",160705,9579.8
"2015",160705,9422.6
"2016",160705,8900.5
"2017",160705,8975.6
"2018",160705,6167.4
"2019",160705,6157.8
"2020",160705,5399.6
"2021",160705,5383.9
"2009",160105,3189.3
"2010",160105,3206
"2011",160105,2744.6
"2012",160105,1284
"2013",160105,2769
"2014",160105,2814.3
"2015",160105,2841.5
"2016",160105,2827.4
"2017",160105,2872.3
"2018",160105,3353.5
"2019",160105,4053
"2020",160105,6773
"2021",160105,7294.4
"2009",160402,13191
"2010",160402,13295.3
"2011",160402,12627.2
"2012",160402,11825.4
"2013",160402,12964
"2014",160402,13059.1
"2015",160402,12956.9
"2016",160402,12638.1
"2017",160402,12766.9
"2018",160402,9545.7
"2019",160402,9342.9
"2020",160402,8888.3
"2021",160402,8074.6
"2009",160704,7293.9
"2010",160704,7396.2
"2011",160704,6199.9
"2012",160704,5389.3
"2013",160704,6780.7
"2014",160704,6829.5
"2015",160704,6724.9
"2016",160704,6360.7
"2017",160704,6413.7
"2018",160704,5559.1
"2019",160704,5520.1
"2020",160704,5464.2
"2021",160704,5445.3
"2009",160804,5122.9
"2010",160804,5174.1
"2011",160804,4478.9
"2012",160804,1981.6
"2013",160804,5053.5
"2014",160804,5116.3
"2015",160804,5155.5
"2016",160804,5209.1
"2017",160804,5282.6
"2018",160804,3799.7
"2019",160804,3421.6
"2020",160804,2421.5
"2021",160804,2363.9
"2009",160802,1991.5
"2010",160802,2044.1
"2011",160802,1954
"2012",160802,888
"2013",160802,2107.2
"2014",160802,2137
"2015",160802,2177.6
"2016",160802,2187.4
"2017",160802,2190.6
"2018",160802,1808.1
"2019",160802,1486.5
"2020",160802,1025.3
"2021",160802,1115.4
