"year","iddist","pop_worldp","pop_landscan","malaria_cases","malaria_incidence","deforest_km2","deforest_cum","deforest_cum_percent","deforest_cum_cat","lst_dist","lst_night_dist","skintemp_dist","tmmx_dist","tmmn_dist","prep_dist","prep_dist_chrips","spei_06_dist","spei_12_dist","spei_24_dist","ndvi_dist","evi_dist","savi_dist","lclu_urban","lclu_livestock","lclu_natural_water","areakm2_ilegal_mining","area_mining_km2","total_miningkm2","lclu_mining","lclu_agriculture","lclu_agromosaic","prop_migration","areakm2_logging_cum","area_oil_km2","protected_area_total","wi_prop","edu_prop","prop_area_ethnicity","prop_urbanization"
2021,160102,NA,2435.7,383,157.244324013631,0.6062147,21.3,2.95,0,27.8691382,21.5044666,25.1837597,31.8666666666667,21.475,3463.1505003,3144.548099,-0.0526162416666667,-0.005127875,0.063527875,0.831363,0.541323125,1.24307155833333,0.1284438,0.0588806,47.5592386,1645.23943309764,0,1645.23943309764,0,0,82.5607611,0.0348408994938791,0,1590.68033188353,18711.9756377115,1.01663618289541,0.80573144192958,0.11,0.230752656681449
2009,160103,25538.2763442,5307.3,272,51.2501648672583,5.8090248,5.81,5.81,0,26.9677462,20.6383213,25.2850838416667,31.5666666666667,21.25,2629.9352642,2442.1392457,0.109735091666667,0.502819408333333,1.75658324166667,0.81478005,0.53301775,1.2228448,1.1763505,0.2226186,214.1609054,0,0,0,0,0,499.3304077,0.0394271651271704,0,0,3539.18059751533,0.984113143559738,0.72651110440633,0.03,0.281484787823045
2010,160103,25599.6947593,5345.8,65,12.1590781548131,3.009192,8.82,51.81,1,27.1956849,21.201783,25.76919495,31.9583333333333,21.6,1732.9576242,1857.2889314,-1.92304466666667,-1.71595504166667,-0.661764675,0.812646858333333,0.538731933333333,1.21888156666667,1.197755,0.6598767,181.422907,0,0,0,0,0,524.2132764,0.0392735442610488,0,0,3539.18059751533,0.984317820772475,0.713970677396608,0.03,0.299276362062436
2011,160103,25141.2286456,5142,42,8.16802800466744,2.4167875,11.24,27.44,1,26.8033742,20.6978229,25.2040012916667,31.6333333333333,21.275,3132.4238097,2860.5037142,-2.89769210833333,-4.12705248333333,-3.55101978333333,0.810856016666667,0.542581125,1.217110425,1.2138085,0.0365642,222.7312073,0,0,0,0,0,524.0834046,0.0391199233949273,0,0,3539.18059751533,0.983800024075977,0.707714404332713,0.03,0.317067936301827
2012,160103,29418.9161226,3301.3,212,64.2171265864962,4.2634022,15.5,37.9,1,27.0735939,20.5652433,25.1756536916667,31.5833333333333,21.2166666666667,2341.4083593,3261.0548723,-1.55423310833333,-1.99630008333333,-3.68950571666667,0.821319133333333,0.551533766666667,1.23299825833333,1.2343212,0.0329906,198.3867092,0,0,0,0,0,533.6364166,0.0389663025288058,0,0,3539.18059751533,0.981828824046631,0.72962277646306,0.03,0.334859510541218
2013,160103,26720.6952124,4689.7,614,130.92521909717,18.8493113,34.35,121.61,1,27.0237004,20.2783295,25.2511140083333,31.6916666666667,21.3,2885.1921304,2954.3518753,-0.51134215,-1.318366875,-1.96666055,0.814228141666667,0.528462025,1.22131525,1.3038859,3.0216598,209.3185003,0,0,0,0,0,550.1179173,0.0388126816626843,0,0,3539.18059751533,0.986482141340672,0.750109815468032,0.03,0.352651084780609
2014,160103,25278.4853207,4747.3,231,48.6592378825859,9.34747,43.7,27.22,1,27.0654936,20.9589895,25.199951,31.6333333333333,21.275,1828.1342684,2899.9537477,0.172079483333333,0.056355625,-0.707730475,0.816937208333333,0.563434058333333,1.22574921666667,1.3333172,0.2372265,206.1279827,0,0,0,0,0,538.0079423,0.0386590607965628,0,0,3539.18059751533,0.987896055157464,0.740177810916285,0.03,0.37044265902
2015,160103,26925.5790502,4763.3,179,37.5789893561187,6.4376107,50.13,14.71,1,27.381994,21.3986206,25.5058023,31.975,21.6416666666667,2165.3748162,2765.004001,0.653269066666667,1.0864323,0.70306255,0.807527441666667,0.526518841666667,1.21046640833333,1.4314206,0.1150254,196.2422172,0,0,0,0,0,544.6985746,0.0385054399304412,0,0,3539.18059751533,0.982767933528795,0.74393404878457,0.03,0.388234233259391
2016,160103,28019.9716095,4770.6,105,22.0098100867815,5.4705535,55.6,10.91,1,27.3193198,20.9083026,25.7582184,31.6583333333333,21.35,2575.0423511,2708.6616202,-0.589855291666667,-0.614007558333333,0.390458625,0.801976725,0.530904283333333,1.20250248333333,1.4430148,0.2987346,190.9468711,0,0,0,0,0,556.4264141,0.0383518190643197,0,0,3539.18059751533,0.977938699242197,0.7352370073286,0.03,0.406025807498783
2017,160103,27381.1778091,4821.1,101,20.949575822945,1.8886527,57.49,3.4,0,27.194579,21.2220586,25.6458122583333,31.2583333333333,21.1,2817.924042,2839.9784875,-0.336824983333333,-0.439980783333333,-0.609701516666667,0.804928591666667,0.548293641666667,1.20809300833333,1.4679866,0.0972015,214.7346645,0,0,0,0,0,564.8546609,0.0381981981981982,0,0,3539.18059751533,0.975874165832117,0.746731099563984,0.03,0.423817381738174
2018,160103,28209.0582921,8390.9,47,5.60130617692977,2.5547659,60.05,4.45,0,26.9722775,20.6507203,25.2967822166667,31.2333333333333,20.9083333333333,2871.1376653,2737.9582005,-0.11886695,-0.218312683333333,-0.378078191666667,0.800230266666667,0.531441941666667,1.19947465,1.5455773,0.1212796,200.0656249,0,0,0,0,0,567.5342748,0.0380445773320767,0,0,3539.18059751533,0.970142676551624,0.748317173603067,0.03,0.441608955977565
2019,160103,28925.8303246,13013.9,36,2.76627298503907,1.5207018,61.57,2.53,0,27.1410002,21.017347,25.5016702083334,31.8333333333333,21.4666666666667,2470.7234031,3258.149019,0.505523308333333,0.480625708333333,0.167693416666667,0.786934733333333,0.517447375,1.17727359166667,1.6088989,0.0775882,210.0902123,0,0,0,0,0,562.7483654,0.0378909564659552,0,0,3539.18059751533,0.966483939882637,0.770714808544788,0.03,0.459400530216956
2020,160103,28513.3154942,10903.6,6,0.550276972742947,3.6756147,65.24,5.96,0,27.7051849,21.4508236,25.8317676416667,32.1333333333333,21.7416666666667,2589.6901315,3110.1596295,0.290962191666667,0.373638033333333,0.480281758333333,0.807168191666667,0.533603883333333,1.20943749166667,1.6624099,0.0347766,209.823728,0,0,0,0,0,567.9701196,0.0377373355998336,0,0,3539.18059751533,0.974616305842075,0.790787668217242,0.03,0.477192104456347
2021,160103,NA,15706.4,13,0.827688076198238,1.056306,66.3,1.62,0,27.1536392,21.1541043,25.5307084,31.9083333333333,21.5333333333333,2841.5251554,3234.4764973,-0.1132887,0.00141793333333333,0.215831441666667,0.811803775,0.53514555,1.2149022,1.7408923,0.4283059,205.0242665,0,0,0,0,0,565.9711368,0.0375837147337121,0,0,3539.18059751533,0.975123446829458,0.782561285811037,0.03,0.494983678695738
2009,160104,8901.3983702,2811.5,398,141.561444069002,1.6125867,1.61,1.61,0,27.4769213,21.1124647,25.3000545083334,31.4,21.3666666666667,2879.2213704,2404.8091186,0.141902033333333,0.556743425,1.72557964166667,0.830601141666667,0.555943641666667,1.24577366666667,0.8771601,0.0294456,91.0374967,0,0,0,0,0,190.5585571,0.0557468534524727,0,0,0.163169084749956,0.958495932443528,0.767143278463424,0.02,0.287666611359991
2010,160104,8555.3954956,2837.4,47,16.5644604215126,0.8268437,2.44,51.55,1,27.4449521,21.2361243,25.7897781,31.725,21.5833333333333,1876.7814759,1899.3189617,-1.71650045,-1.517683325,-0.524660325,0.820857466666667,0.543035641666667,1.23049213333333,0.8744833,0.0678022,87.9313611,0,0,0,0,0,190.685198,0.055500916348573,0,0,0.163169084749956,0.963418518166098,0.741943275608963,0.02,0.298902162491013
2011,160104,9003.0704637,2702.9,206,76.2144363461467,1.574405,4.01,64.34,1,27.1435929,20.8193955,25.1835455083334,31.275,21.2583333333333,3506.6518479,2912.3989978,-2.5116303,-3.320577,-2.90347843333333,0.821658016666667,0.542321991666667,1.23168259166667,0.8896528,0.0026771,95.7823389,0,0,0,0,0,187.4746686,0.0552549792446733,0,0,0.163169084749956,0.969729722339488,0.750149732453266,0.02,0.310137713622034
2012,160104,9157.0167696,1842.1,541,293.686553390153,2.3803838,6.39,59.35,1,27.0695221,20.7591088,25.170371075,31.2,21.2,2632.3638535,3467.0234786,-1.50129006666667,-1.84526764166667,-3.10436311666667,0.829656491666667,0.551932408333333,1.24449728333333,0.8887604,0.0267369,93.6516164,0,0,0,0,0,190.6986331,0.0550090421407735,0,0,0.163169084749956,0.971031159461298,0.741685259909919,0.02,0.321373264753056
2013,160104,9441.4304847,3891,506,130.043690567977,1.6645695,8.06,26.13,1,27.2651321,20.2968558,25.2519474916667,31.2416666666667,21.2583333333333,3086.2682245,3027.3416738,-0.60256995,-1.31895425,-1.8720004,0.829106475,0.53142405,1.24366215,0.9137458,0.0963542,95.2362073,238.744539248866,0,238.744539248866,0,0,192.1824027,0.0547631050368738,0,0,0.163169084749956,0.979284156574966,0.738793515005726,0.02,0.332608815884077
2014,160104,9613.1671744,3925.2,296,75.4101701824111,3.248857,11.31,40.32,1,27.2878248,20.9152425,25.2053403166667,31.2583333333333,21.325,1977.4168265,3108.8904815,0.0760281916666667,-0.0943183666666667,-0.814578533333333,0.830175966666667,0.569290925,1.244968475,0.9414074,0.1106403,95.2407463,238.744539248866,0,238.744539248866,0,0,205.0217747,0.0545171679329741,0,0,0.163169084749956,0.987031809616958,0.737860971693832,0.02,0.343844367015099
2015,160104,9119.892881,3964.3,217,54.7385414827334,2.0933256,13.4,18.48,1,27.1980267,21.4887926,25.469929075,31.6416666666667,21.6666666666667,2348.6317491,2873.7980163,0.508334683333333,0.8642826,0.483748616666667,0.8223417,0.546269908333333,1.23264771666667,0.9949466,0.1257994,97.7573647,238.744539248866,0,238.744539248866,0,0,211.4697011,0.0542712308290744,0,0,0.163169084749956,0.98697618056149,0.746569275413624,0.02,0.35507991814612
2016,160104,9151.2159554,3957.1,103,26.0291627707159,2.6652007,16.07,19.93,1,27.4872309,21.1872648,25.7203523166667,31.7166666666667,21.3833333333333,2800.6629817,2848.3346125,-0.863580258333333,-0.975583541666667,0.0370843166666667,0.815804483333333,0.536152141666667,1.222149825,1.01547,0.1873701,93.0863581,238.744539248866,0,238.744539248866,0,0,218.9519195,0.0540252937251746,123.002615903174,0,0.163169084749956,0.985463568007073,0.714608778929151,0.02,0.366315469277142
2017,160104,9212.1927783,3999.1,134,33.5075391963192,0.8602527,16.93,5.35,0,27.1613345,21.369369,25.6292568,31.2,21.1416666666667,3092.9381545,2809.3086772,-0.334788083333333,-0.469720441666667,-0.84078155,0.825310416666667,0.553093983333333,1.237857475,1.0565185,0.1927217,91.4498967,238.744539248866,0,238.744539248866,0,0,241.9627659,0.0537793566212749,381.439137289627,0,0.163169084749956,0.985260772290288,0.754003471061041,0.02,0.377551020408163
2018,160104,9010.983879,10988.2,46,4.18630894960048,1.0943883,18.02,6.44,0,27.3407815,20.4942323,25.2652370333334,31.2083333333333,20.975,3159.8968968,2791.0609306,-0.178175708333333,-0.297007616666667,-0.44468495,0.811389475,0.523958066666667,1.21509245833333,1.0761493,0.0437197,92.9957451,238.744539248866,0,238.744539248866,0,0,229.0855039,0.0535334195173752,394.228347140914,0,0.163169084749956,0.978768816662589,0.744592170039856,0.02,0.388786571539185
2019,160104,9088.7076475,15086.2,54,3.57943020773952,0.593724,18.61,3.27,0,27.1927165,21.0998421,25.491844075,31.6,21.475,2671.189657,3408.3936926,0.641162158333333,0.630584616666667,0.222301266666667,0.816970658333333,0.537447375,1.22203984166667,1.1073809,0.0196271,101.412234,238.744539248866,0,238.744539248866,0,0,221.1341763,0.0532874824134755,616.480826114915,0,0.163169084749956,0.967225332111405,0.755519343244072,0.02,0.400022122670206
2020,160104,9097.3242213,13685.6,9,0.657625533407377,1.85951,20.47,9.99,0,27.8675049,21.5230315,25.8416735833333,31.8583333333333,21.8166666666667,2837.7618682,3082.5732541,0.426773175,0.506708008333333,0.6400511,0.818576208333333,0.537334666666667,1.22760055833333,1.1412888,0.0276612,100.5006359,238.744539248866,0,238.744539248866,0,0,224.5175356,0.0530415453095757,0,0,0.163169084749956,0.966400423133923,0.810855650507452,0.02,0.411257673801228
2021,160104,NA,16746.3,6,0.358288099460776,0.3742272,20.85,1.86,0,27.6524766,21.3841912,25.5094047083334,31.55,21.5083333333333,3139.8900052,3279.9466002,-0.1255029,0.0496387,0.322864308333333,0.8254347,0.542464675,1.23633985833333,1.205537,0.1730944,88.4441122,238.744539248866,0,238.744539248866,0,0,222.7527901,0.052795608205676,0,0,0.163169084749956,0.975132904414632,0.822981279258804,0.02,0.422493224932249
2009,160105,8436.7472541,3189.3,249,78.0735584611043,2.303833,2.3,2.3,0,27.172885,20.8852235,25.2692412666667,31.4083333333333,21.35,3040.4024942,2496.282205,0.173355866666667,0.589199191666667,1.71256895833333,0.8300228,0.544134358333333,1.24466560833333,0.2266635,0.0865577,221.8320073,0,0,0,0,0,199.6628182,0.0485420167167937,0,0,3017.6341756283,1.00888298960241,0.714434429287233,0.17,0.253519498638943
2010,160105,8456.9721047,3206,29,9.0455396132252,2.1535501,4.46,93.91,1,27.3751185,20.908938,25.77563415,31.775,21.55,2030.9001242,2029.6977359,-1.63735454166667,-1.44679198333333,-0.471541291666667,0.8136062,0.527137383333333,1.21884825,0.2266636,0.0446174,198.7243047,0,0,0,0,0,208.8577452,0.0470652755833697,0,0,3017.6341756283,1.00424540279053,0.70664912859739,0.17,0.260851749131572
2011,160105,8382.0698974,2744.6,82,29.8768490854769,2.5093122,6.97,56.28,1,27.1701711,21.0335017,25.1524024416667,31.2583333333333,21.2916666666667,3673.0368413,2906.7889143,-2.34223708333333,-3.08026458333333,-2.6946104,0.822603408333333,0.530375533333333,1.23250616666667,0.2043557,0.0053544,233.9489107,0,0,0,0,0,198.5800444,0.0455885344499458,0,0,3017.6341756283,1.00041023937455,0.717789122936641,0.17,0.268183999624202
2012,160105,8211.4663352,1284,342,266.355140186916,2.4452453,9.41,35.01,1,27.1214642,20.7096404,25.128924025,31.1833333333333,21.1916666666667,2753.0843671,3559.5219472,-1.47845931666667,-1.790736225,-2.89561385833333,0.825771541666667,0.537588033333333,1.23808873333333,0.2222021,0.0321244,218.3688431,0,0,0,0,0,209.4732066,0.0441117933165219,0,0,3017.6341756283,0.997489166711044,0.712506931153207,0.17,0.275516250116832
2013,160105,8438.6697841,2769,236,85.2293246659444,2.4187646,11.83,25.72,1,27.2360798,20.4805337,25.2097575333334,31.2583333333333,21.2833333333333,3278.2921811,3101.9874468,-0.638765766666667,-1.30787418333333,-1.8252302,0.835088816666667,0.532233141666667,1.25271955833333,0.2123865,0.0464039,220.4545605,416.637883699064,0,416.637883699064,0,0,206.6392018,0.042635052183098,0,0,3017.6341756283,0.99998425705569,0.695685925594548,0.17,0.282848500609461
2014,160105,8331.4309242,2814.3,157,55.7865188501581,5.2691804,17.1,44.55,1,27.2095948,20.9211393,25.1618522,31.275,21.3166666666667,2126.8067394,3219.0717054,0.017492625,-0.17615215,-0.861554116666667,0.821073775,0.553334775,1.23057316666667,0.2195248,0.0910246,227.4343719,416.637883699064,0,416.637883699064,0,0,212.6228345,0.0411583110496741,0,0,3017.6341756283,1.00221342843403,0.735066875655444,0.17,0.290180751102091
