"","year","ubigeo","n","pop_landscan","malaria_incidence"
"367",2017,"160404",89,14160.4,6.28513318832801
"368",2017,"160501",31,15069.7,2.05710797162518
"369",2017,"160502",3,2602.8,1.15260488704472
"370",2017,"160503",1,1303.7,0.76704763365805
"371",2017,"160504",6,4759.5,1.26063662149385
"372",2017,"160505",1,4713.3,0.21216557401396
"373",2017,"160506",2,2658.2,0.752388834549695
"374",2017,"160507",13,1032.6,12.5895797017238
"375",2017,"160508",307,7644.4,40.1601172099838
"376",2017,"160510",5,4930.8,1.01403423379573
"377",2017,"160511",616,7552.8,81.5591568689757
"378",2017,"160601",1,26941.7,0.0371171826573676
"379",2017,"160602",1,992.1,1.00796290696502
"380",2017,"160604",1,5065.3,0.197421672951257
"381",2017,"160605",1,21428.6,0.0466666044445274
"382",2017,"160606",2,5753,0.347644707109334
"383",2017,"160701",359,13050.6,27.5083137940018
"384",2017,"160702",101,2880.5,35.0633570560667
"385",2017,"160703",298,10777,27.6514800037116
"386",2017,"160704",1049,6413.7,163.556137642858
"387",2017,"160705",5161,8975.6,575.003342394937
"388",2017,"160706",10749,8395.3,1280.35924862721
"389",2017,"160801",306,5399.7,56.6698149897217
"390",2017,"160802",59,2190.6,26.9332602939834
"391",2017,"160803",294,3818.9,76.9855193904004
"392",2017,"160804",80,5282.6,15.144057850301
"393",2018,"160101",1704,169299.5,10.0650031453135
"394",2018,"160102",1983,5385.7,368.197263122714
"395",2018,"160103",47,8390.9,5.60130617692977
"396",2018,"160104",46,10988.2,4.18630894960048
"397",2018,"160105",29,3353.5,8.64768152676308
"398",2018,"160106",1360,15057,90.3234376037723
"399",2018,"160107",2148,7327.3,293.150273634217
"400",2018,"160108",1962,97605,20.1014292300599
"401",2018,"160110",2255,2280.4,988.861603227504
"402",2018,"160112",355,28766.1,12.3409151744588
"403",2018,"160113",5192,114807,45.2237232921338
"404",2018,"160201",175,72423.6,2.41633942527022
"405",2018,"160202",1553,2426.5,640.016484648671
"406",2018,"160205",7,8433.4,0.830032964166291
"407",2018,"160206",533,19430.5,27.4311005892797
"408",2018,"160210",8,2862.2,2.79505275662078
"409",2018,"160211",11,5769.2,1.90667683560979
"410",2018,"160301",209,16548.8,12.6293145122305
"411",2018,"160302",21,1713.8,12.2534718170148
"412",2018,"160303",3630,9856.8,368.27367908449
"413",2018,"160304",3467,23523.8,147.382650762207
"414",2018,"160305",2068,8438.9,245.05563521312
"415",2018,"160401",607,12403.2,48.9389834881321
"416",2018,"160402",53,9545.7,5.55223818054202
"417",2018,"160403",1504,12429.8,120.999533379459
"418",2018,"160404",26,11381.6,2.28438883812469
"419",2018,"160501",27,13280.1,2.03311722050286
"420",2018,"160502",9,1272.1,7.07491549406493
"421",2018,"160503",2,1129.7,1.77038151721696
"422",2018,"160504",14,3806.8,3.67762950509614
