"iddist","year","nls_year","nls_year_norm"
160113,"2017",0.275072291666667,0.172980440622864
160113,"2018",0.320438633333333,0.198783214193481
160113,"2019",0.2336799,0.149437909519765
160113,"2020",0.380135358333333,0.232736603898127
160201,"2014",0.068900075,0.0557169622870946
160201,"2015",0.095433325,0.0708081381829378
160201,"2016",0.0883544166666667,0.0667819050298606
160201,"2017",0.267768808333333,0.168826477137965
160201,"2018",0.282437866666667,0.177169719655739
160201,"2019",0.235770525,0.150626983214365
160201,"2020",0.330043608333333,0.204246184888748
160202,"2014",0.0159060166666667,0.0255758127579979
160202,"2015",0.0169998666666667,0.026197956021777
160202,"2016",0.00381215,0.0186972483481521
160202,"2017",0.167445616666667,0.111766187430747
160202,"2018",0.204261741666667,0.132705899609931
160202,"2019",0.124474825,0.0873259181299525
160202,"2020",0.212433725,0.137353835234147
160205,"2014",-0.00149584166666667,0.0156782500763484
160205,"2015",0.0102975916666667,0.0223859386124016
160205,"2016",-0.00169909166666667,0.0155626486516895
160205,"2017",0.168279491666667,0.112240466092431
160205,"2018",0.197257016666667,0.128721859317958
160205,"2019",0.130499358333333,0.0907524600056633
160205,"2020",0.219178408333333,0.14118997300638
160206,"2014",0.00271444166666667,0.0180729106005838
160206,"2015",0.00386293333333334,0.0187261321153465
160206,"2016",-0.00276155833333333,0.0149583551199835
160206,"2017",0.172143941666667,0.114438428825632
160206,"2018",0.18918845,0.12413274344282
160206,"2019",0.138588966666667,0.0953535436379666
160206,"2020",0.220136208333333,0.141734735833137
160210,"2014",5.3450000000007e-05,0.0165594324816561
160210,"2015",0.00704603333333333,0.0205365670222674
160210,"2016",-0.00782500833333333,0.0120784435151177
160210,"2017",0.167461541666667,0.111775245008546
160210,"2018",0.182447275,0.120298601086732
160210,"2019",0.134154983333333,0.0928316504510193
160210,"2020",0.216308916666667,0.139557907448134
160211,"2014",0.00607543333333334,0.0199845240073896
160211,"2015",0.0223082916666667,0.0292172007582828
160211,"2016",-0.00190409166666667,0.0154460518888109
160211,"2017",0.171281416666667,0.113947855055379
160211,"2018",0.215830166666667,0.139285611349461
160211,"2019",0.134982183333333,0.0933021326083517
160211,"2020",0.2180503,0.140548344812024
160301,"2014",0.023969325,0.0301619378787709
160301,"2015",0.013220575,0.0240484283422293
160301,"2016",-0.00391591666666667,0.014301796852332
160301,"2017",0.154130741666667,0.104193156586196
160301,"2018",0.1709966,0.113785861390271
160301,"2019",0.128755091666667,0.0897603827035641
160301,"2020",0.215302616666667,0.138985559533575
160302,"2014",0.006736425,0.0203604727323801
160302,"2015",-0.002085375,0.0153429443286621
160302,"2016",0.001061475,0.0171327615153179
160302,"2017",0.160568666666667,0.107854821047928
160302,"2018",0.179059616666667,0.11837182062134
160302,"2019",0.129962066666667,0.0904468674736879
160302,"2020",0.218840383333333,0.140997716319687
160303,"2014",0.028528175,0.0327548508175464
160303,"2015",0.0223248333333333,0.0292266090743118
160303,"2016",0.00595701666666667,0.0199171727878569
160303,"2017",0.172160058333333,0.114447595416665
160303,"2018",0.19419495,0.126980263898193
160303,"2019",0.128338966666667,0.089523705494038
160303,"2020",0.216261116666667,0.139530720495619
160304,"2014",0.04475005,0.0419812806361845
160304,"2015",0.0497226083333333,0.0448094962698018
160304,"2016",0.018307075,0.0269414499733602
160304,"2017",0.173655625,0.115298220938628
160304,"2018",0.219812308333333,0.141550512947789
160304,"2019",0.146530516666667,0.0998704169171779
160304,"2020",0.216974175,0.139936282902499
160305,"2014",0.0179831,0.0267571844306598
160305,"2015",0.00286030833333333,0.0181558744110483
160305,"2016",0.00378655,0.0186826879719097
160305,"2017",0.167249125,0.111654429907498
160305,"2018",0.196425358333333,0.128248841418018
160305,"2019",0.139259675,0.0957350188599293
160305,"2020",0.223082558333333,0.14341051569805
160401,"2014",-0.023384325,0.00322885348616192
160401,"2015",0.0106435666666667,0.0225827169784353
160401,"2016",-0.00513254166666667,0.0136098235028825
160401,"2017",0.141711066666667,0.0971292838983724
160401,"2018",0.193858158333333,0.12678870868796
160401,"2019",0.133503166666667,0.0924609201421235
160401,"2020",0.2156982,0.139210553368284
160402,"2014",-0.000379808333333338,0.0163130104369886
160402,"2015",0.00848585,0.0213554839123744
160402,"2016",-0.00993026666666667,0.0108810468971186
160402,"2017",0.146096616666667,0.0996236299151632
160402,"2018",0.192266916666667,0.125883666603614
160402,"2019",0.118249408333333,0.0837851209060323
160402,"2020",0.228022983333333,0.146220455026072
160403,"2014",0.0110972916666667,0.0228407797405674
160403,"2015",0.010687225,0.0226075482971638
160403,"2016",-0.0142275916666667,0.00843688014571789
160403,"2017",0.136913858333333,0.0944008011543686
160403,"2018",0.189601466666667,0.124367652742079
160403,"2019",0.120238433333333,0.0849164081074203
160403,"2020",0.200579683333333,0.130611674817752
160404,"2014",0.0102384666666667,0.0223523103996933
160404,"2015",0.00418878333333333,0.0189114640918537
160404,"2016",-0.00337298333333333,0.0146105981651395
160404,"2017",0.147438325,0.100386746248792
160404,"2018",0.178124341666667,0.117839869219383
160404,"2019",0.123495125,0.0867686993563323
160404,"2020",0.212207558333333,0.137225199618516
160501,"2014",0.0096404,0.0220121511932596
160501,"2015",-0.000654658333333333,0.0161566854600268
160501,"2016",0.005114375,0.0194379079556621
160501,"2017",0.140375225,0.0963695043176326
160501,"2018",0.170900725,0.113731331074949
160501,"2019",0.138794008333333,0.0954701640993742
160501,"2020",0.22732705,0.145824632714628
160502,"2014",-0.0141443416666667,0.00848422980674053
160502,"2015",0.00618858333333333,0.0200488797328516
160502,"2016",-0.0138273583333333,0.00866451873626797
160502,"2017",0.136779225,0.0943242264673334
160502,"2018",0.176641825,0.116996666076715
160502,"2019",0.126742991666667,0.0886159712567935
160502,"2020",0.21936175,0.141294251273863
160503,"2014",-0.00297134166666667,0.0148390377659711
160503,"2015",-0.00777435833333333,0.0121072514470191
160503,"2016",0.003282675,0.0183961016602246
160503,"2017",0.140009608333333,0.0961615544650093
160503,"2018",0.168167166666667,0.112176579597844
160503,"2019",0.1334184,0.0924127078546438
160503,"2020",0.209657433333333,0.135774778545659
160504,"2014",-0.012487925,0.00942634113021101
160504,"2015",0.0111507416666667,0.0228711802136203
160504,"2016",-0.0119270916666667,0.00974532333109425
160504,"2017",0.136046758333333,0.0939076252856271
160504,"2018",0.179069616666667,0.11837750826831
160504,"2019",0.134193058333333,0.0928533061668563
160504,"2020",0.214235141666667,0.138378417438678
160505,"2014",-0.0104434833333333,0.0105891473752227
160505,"2015",0.0104658583333333,0.0224816427520781
160505,"2016",-0.0149091083333333,0.00804925752532215
160505,"2017",0.151168208333333,0.102508172212604
160505,"2018",0.176539966666667,0.116938732652623
160505,"2019",0.130935358333333,0.0910004414135416
160505,"2020",0.218185041666667,0.140624981115235
160506,"2014",0.00378431666666666,0.0186814177307531
160506,"2015",0.0033354,0.0184260897788723
160506,"2016",-0.00433401666666667,0.0140639963325294
160506,"2017",0.154346825,0.1043160571578
160506,"2018",0.195103033333333,0.127496749640099
160506,"2019",0.1376863,0.0948401387048362
160506,"2020",0.221416508333333,0.142462925274666
160507,"2014",0.0102756,0.022373430528774
160507,"2015",-0.000242108333333331,0.0163913293357612
160507,"2016",-0.0290612833333333,0
160507,"2017",0.1307776,0.090910714042889
160507,"2018",0.180028583333333,0.11892293465388
160507,"2019",0.132371041666667,0.0918170074095679
160507,"2020",0.198922125,0.129668914154586
160508,"2014",-0.006428325,0.0128728276879622
160508,"2015",0.00439404166666667,0.0190282077856123
160508,"2016",-0.0176864666666667,0.00646959415449049
160508,"2017",0.144503916666667,0.0987177583823013
160508,"2018",0.172788341666667,0.114804940796358
160508,"2019",0.123789991666667,0.0869364091066451
160508,"2020",0.218785425,0.140966457959883
160509,"2014",-0.00528271666666668,0.0135244092645152
160509,"2015",-0.00245319166666667,0.0151337431937054
160509,"2016",-0.00750474166666667,0.0122605998887335
160509,"2017",0.129636525,0.0902617108662955
160509,"2018",0.178021133333333,0.11778116796295
160509,"2019",0.125164425,0.0877181382649821
160509,"2020",0.215888666666667,0.139318884084233
160510,"2014",0.00435598333333333,0.0190065615491869
160510,"2015",0.000323599999999994,0.0167130842645421
160510,"2016",-0.0157686833333333,0.00756036161092533
160510,"2017",0.15918035,0.107065195539715
160510,"2018",0.167930091666667,0.112041739707311
160510,"2019",0.129474633333333,0.0901696326015621
160510,"2020",0.209762916666667,0.135834773741778
160511,"2014",0.00173355,0.0175150140490331
160511,"2015",-0.00287265,0.0148951701018561
160511,"2016",-0.0241278,0.00280599115308316
160511,"2017",0.130189558333333,0.0905762567025424
160511,"2018",0.170917966666667,0.113741137526266
160511,"2019",0.130906733333333,0.0909841605240909
160511,"2020",0.205656358333333,0.133499108335735
160601,"2014",-0.016792575,0.00697800817740495
160601,"2015",0.0160645166666667,0.0256659619624674
160601,"2016",-0.0146354083333333,0.00820492842288247
160601,"2017",0.163664325,0.109615522221805
160601,"2018",0.1938687,0.126794704415807
160601,"2019",0.1277495,0.0891884376639983
160601,"2020",0.216320383333333,0.139564429283326
160602,"2014",-0.00779816666666666,0.0120937101075255
160602,"2015",0.0105221666666667,0.0225136689442233
160602,"2016",-0.0204354583333333,0.00490606474222951
160602,"2017",0.161128666666667,0.108173329278231
160602,"2018",0.18573725,0.122169822720641
160602,"2019",0.114192408333333,0.0814776425304305
160602,"2020",0.209034841666667,0.135420670385032
160603,"2014",-0.0284366666666667,0.000355259909138221
160603,"2015",0.0063582,0.0201453517048691
160603,"2016",-0.0165829166666667,0.00709725443583023
160603,"2017",0.162658483333333,0.109043434991065
160603,"2018",0.180377983333333,0.119121661039001
160603,"2019",0.125660166666667,0.0880000986237985
160603,"2020",0.210001941666667,0.135970722723471
160604,"2014",-0.0151368333333333,0.00791973558470497
160604,"2015",0.0161753416666667,0.025728995310009
160604,"2016",-0.0147996916666667,0.00811148986258214
160604,"2017",0.155146016666667,0.104770609163911
160604,"2018",0.194852516666667,0.127354264604096
160604,"2019",0.1314906,0.0913162432718276
160604,"2020",0.21758075,0.140281281348562
160605,"2014",-0.00557293333333334,0.0133593442700433
160605,"2015",0.0100075833333333,0.0222209921105748
160605,"2016",-0.015866325,0.00750482647797215
160605,"2017",0.148242308333333,0.100844023585743
160605,"2018",0.190957275,0.125138788657935
160605,"2019",0.119945766666667,0.0847499496394409
160605,"2020",0.212629783333333,0.137465346292694
160606,"2014",-0.0127561333333333,0.00927379369877821
160606,"2015",0.0114837833333333,0.0230606025562399
160606,"2016",-0.016340625,0.00723506138219992
160606,"2017",0.157658175,0.106199436137107
160606,"2018",0.185798625,0.122204730653918
160606,"2019",0.123643108333333,0.086852867052072
160606,"2020",0.219717433333333,0.141496551397164
160701,"2014",0.0127467,0.0237789049714533
160701,"2015",0.0238425416666667,0.0300898279946069
160701,"2016",0.006944425,0.0204787757893495
160701,"2017",0.184719675,0.121591061984124
160701,"2018",0.195311341666667,0.127615228066183
160701,"2019",0.131367158333333,0.0912460340096927
160701,"2020",0.211766425,0.13697429855186
160702,"2014",0.0109018416666667,0.0227296146805449
160702,"2015",0.0194917416666667,0.0276152465510358
160702,"2016",0.00602538333333333,0.0199560573343063
160702,"2017",0.178815208333333,0.118232809789696
160702,"2018",0.191089766666667,0.125214145240578
160702,"2019",0.11088605,0.0795971026349025
160702,"2020",0.207994266666667,0.134828828060484
160703,"2014",0.0149104833333333,0.0250095885433424
160703,"2015",0.036940175,0.0375392994484466
160703,"2016",0.008703175,0.0214790907001431
160703,"2017",0.19742665,0.128818340769387
160703,"2018",0.210673125,0.136352468108664
160703,"2019",0.133254291666667,0.0923193688281654
160703,"2020",0.210927175,0.136496962779929
160704,"2014",0.0193031583333333,0.0275079870085991
160704,"2015",0.0208210916666667,0.028371333900951
160704,"2016",0.00990033333333333,0.0221599920968249
160704,"2017",0.184072791666667,0.121223137581066
160704,"2018",0.207791483333333,0.13471349205935
160704,"2019",0.13921315,0.0957085570824028
160704,"2020",0.212827983333333,0.137578075455633
160705,"2014",-0.00064580833333334,0.0161617190275949
160705,"2015",0.0107599333333333,0.0226489022303392
160705,"2016",0.00501125,0.0193792540962872
160705,"2017",0.171429825,0.114032264476115
160705,"2018",0.188039716666667,0.123479384476589
160705,"2019",0.127982375,0.0893208887428048
160705,"2020",0.226670708333333,0.145451328745478
160706,"2014",0.0214462166666667,0.0287268829321435
160706,"2015",0.0244121166666667,0.0304137821468828
160706,"2016",0.010182275,0.0223203505634294
160706,"2017",0.182720958333333,0.120454262504881
160706,"2018",0.204642525,0.132922475727125
160706,"2019",0.141817416666667,0.097189772023895
160706,"2020",0.205725475,0.133538419455707
160801,"2014",-0.00766871666666667,0.0121673366975481
160801,"2015",0.00984399166666666,0.0221279469458566
160801,"2016",-0.0160523083333333,0.0073990457237476
160801,"2017",0.15505665,0.104719780558825
160801,"2018",0.187780675,0.123332050721545
160801,"2019",0.124850266666667,0.0875394560957236
160801,"2020",0.212921291666667,0.137631145941566
160802,"2014",0.000741500000000001,0.0169507710314053
160802,"2015",0.00666955833333333,0.0203224413329761
160802,"2016",-0.00341285,0.0145879234125537
160802,"2017",0.169790675,0.113099973823079
160802,"2018",0.186445425,0.122572607659917
160802,"2019",0.120924366666667,0.0853065427718944
160802,"2020",0.19204735,0.125758784834983
160803,"2014",0.005554325,0.0196881359840934
160803,"2015",0.02254815,0.0293536237105565
160803,"2016",-0.00543545833333333,0.0134375351967591
160803,"2017",0.17999115,0.11890164389539
160803,"2018",0.197497191666667,0.128858462379052
160803,"2019",0.116982208333333,0.0830643822820337
160803,"2020",0.219371708333333,0.141299915222304
160804,"2014",-0.0212801333333333,0.00442564342181752
160804,"2015",0.0104310333333333,0.0224618355215062
160804,"2016",-0.00640493333333333,0.0128861320421654
160804,"2017",0.166168383333333,0.111039742200955
160804,"2018",0.165628875,0.110732888907235
160804,"2019",0.1381407,0.0950985853831388
160804,"2020",0.232206008333333,0.148599611972609
