"year","ubigeo","index","estimate","se"
2013,"160504","edu",0.714285714285714,8.76035355368287e-17
2013,"160505","edu",0.72661870503597,1.60982338570648e-15
2013,"160601","edu",0.802982014725999,0.0586878888787063
2013,"160606","edu",0.818181818181817,1.1670352184634e-15
2013,"160701","edu",0.786407766990291,2.46330733588706e-16
2013,"160704","edu",0.685185185185186,6.53990750443256e-16
2013,"160706","edu",0.53846153846154,1.66186508998578e-15
2014,"160101","edu",0.852965610780047,0.0284544325149061
2014,"160103","edu",0.736263736263736,1.37910516340156e-16
2014,"160104","edu",0.726415094339622,7.25114412958306e-16
2014,"160105","edu",0.743589743589744,9.88792381306781e-17
2014,"160108","edu",0.80019508901083,0.0228649120448238
2014,"160112","edu",0.820663198437453,0.0182543489591238
2014,"160113","edu",0.801569792683448,0.0216334117195445
2014,"160201","edu",0.813507016785868,0.0204326683061036
2014,"160202","edu",0.640350877192982,5.23886489744995e-16
2014,"160301","edu",0.766748265600163,0.043375561206426
2014,"160303","edu",0.6375,1.47451495458029e-16
2014,"160402","edu",0.771186440677967,4.91794105439424e-16
2014,"160403","edu",0.776595744680851,3.65159291693118e-16
2014,"160404","edu",0.794642857142855,2.07386191553027e-15
2014,"160501","edu",0.817866281339869,0.0270234236676356
2014,"160504","edu",0.729729729729728,1.37173258862866e-15
2014,"160505","edu",0.741007194244603,8.21391565875018e-16
2014,"160601","edu",0.725490196078431,4.01588484688631e-16
2014,"160605","edu",0.653225806451612,7.97972798949332e-16
2014,"160606","edu",0.844444444444444,6.74373751285985e-16
2014,"160703","edu",0.769230769230767,2.11289319373975e-15
2014,"160706","edu",0.586538461538462,6.40112962635441e-16
2014,"160803","edu",0.717557251908398,1.28022592527088e-15
2015,"160101","edu",0.83989314716941,0.00879519553986078
2015,"160104","edu",0.752443813261904,0.00582906277985939
2015,"160105","edu",0.825821685351461,8.22258927613008e-16
2015,"160106","edu",0.765831876039081,0.0274449766723954
2015,"160107","edu",0.769996161387642,0.0118133771863262
2015,"160108","edu",0.824084179327994,0.0173594209384475
2015,"160112","edu",0.787037023689728,0.016904246654195
2015,"160113","edu",0.810610082561106,0.0149575876981679
2015,"160201","edu",0.776497949534502,0.0206565809666385
2015,"160202","edu",0.581632153711865,0.0327993062027145
2015,"160206","edu",0.821139099569142,4.16333634234433e-17
2015,"160301","edu",0.787614491750882,0.0234151094008477
2015,"160303","edu",0.757813182750982,6.66133814775093e-16
2015,"160304","edu",0.690153238383913,1.55691431968918e-16
2015,"160401","edu",0.757741889642707,0.0172850511140712
2015,"160402","edu",0.75823761457585,2.46330733588708e-16
2015,"160404","edu",0.706302628339851,0.00734427154808948
2015,"160501","edu",0.754899766915105,0.0156809005111576
2015,"160601","edu",0.778798393159519,0.0176938748401848
2015,"160603","edu",0.690796233635709,0.00101477754926689
2015,"160604","edu",0.758729098304285,5.65519853168441e-16
2015,"160605","edu",0.726641422656757,0.0474385636307323
2015,"160701","edu",0.759456116682737,1.35308431126191e-16
2015,"160702","edu",0.692503883612964,1.44415729375069e-15
2015,"160703","edu",0.677261374174,0.0300500460615208
2015,"160704","edu",0.616853619958161,0.0255155912083129
2015,"160706","edu",0.593185237652698,6.60929644347165e-16
2016,"160101","edu",0.84764817715217,0.00779943596342648
2016,"160104","edu",0.675125942127425,0.00403708251808165
2016,"160105","edu",0.711000842226616,0.0566687929577722
2016,"160106","edu",0.703215246087094,0.0319186433892137
2016,"160107","edu",0.73208017201515,0.0159764640569522
2016,"160108","edu",0.822450656780004,0.0164502902081438
2016,"160112","edu",0.795221780836565,0.0137119863381083
2016,"160113","edu",0.818659733667557,0.0122524686434286
2016,"160201","edu",0.785733075574444,0.0206006547771095
2016,"160202","edu",0.634322298850286,0.0648773371344591
2016,"160206","edu",0.872418317139944,1.40664389858269e-15
2016,"160301","edu",0.72900798227058,0.0334215330668074
2016,"160303","edu",0.683283553853709,3.46944695195361e-16
2016,"160304","edu",0.584560820037231,6.07153216591884e-16
2016,"160401","edu",0.686999792518936,0.0340711073823972
2016,"160402","edu",0.780011061993942,3.98986399474664e-16
2016,"160404","edu",0.684388521000564,0.0153996940482943
2016,"160501","edu",0.790656157260397,0.0292500025546744
2016,"160601","edu",0.871112996641307,0.0264358440720492
2016,"160603","edu",0.776736414782969,0.0101511675548615
2016,"160604","edu",0.730139352221081,6.80011602582909e-16
2016,"160605","edu",0.789687452704195,0.0523308667746419
2016,"160701","edu",0.746848090907606,0.0270892083954771
2016,"160702","edu",0.66295801398319,7.14706072102445e-16
2016,"160703","edu",0.661628732365939,6.26235174827628e-16
2016,"160704","edu",0.642694961043426,0.02513355818417
2017,"160101","edu",0.862044879128082,0.00737814241654633
2017,"160104","edu",0.768346400923868,0.0227467060192848
2017,"160105","edu",0.784294226092948,0.0371292786679659
2017,"160106","edu",0.804294162256861,0.0456994763588708
2017,"160107","edu",0.757047499969975,0.0190129173268812
2017,"160108","edu",0.827071084004397,0.0101015841209556
2017,"160112","edu",0.795411519213913,0.0220573533338838
2017,"160113","edu",0.804940974363229,0.0120047582712528
2017,"160201","edu",0.791986622465074,0.0183478025858026
2017,"160202","edu",0.67136765699648,0.0334363092436123
2017,"160206","edu",0.773981450286257,5.72458747072345e-16
2017,"160301","edu",0.76779191787417,0.0214204467156191
2017,"160303","edu",0.719461645711128,2.0122792321331e-16
2017,"160304","edu",0.593289971280853,1.3010426069826e-16
2017,"160401","edu",0.681154906794232,0.0440864245088043
2017,"160402","edu",0.836046053938229,1.70002900645727e-16
2017,"160404","edu",0.678533286242974,0.0279420252165872
2017,"160501","edu",0.779988373988873,0.025430378302355
2017,"160601","edu",0.812916967024663,0.014883185148884
2017,"160603","edu",0.68040701839982,0.0040453051295904
2017,"160604","edu",0.712239718502806,9.57567358739203e-16
2017,"160605","edu",0.790454882476336,0.0178694734969482
2017,"160701","edu",0.766734662580035,0.0495848651074631
2017,"160702","edu",0.722564873438934,1.81712284108571e-16
2017,"160703","edu",0.704569422103059,1.29757316003065e-15
2017,"160704","edu",0.667151036278919,0.0125870325425091
2018,"160101","edu",0.872064507087283,0.00795894451440214
2018,"160103","edu",0.74544304291845,0.0200868967728085
2018,"160104","edu",0.739070595260275,0.0270125881785931
2018,"160105","edu",0.573100487220958,3.76434994286967e-16
2018,"160106","edu",0.766848852832118,0.0174145136166587
2018,"160108","edu",0.848682228974969,0.0171613852823969
2018,"160110","edu",0.752924803312579,0.00842594774951918
2018,"160112","edu",0.810823063010343,0.0215878732206569
2018,"160113","edu",0.825286930919211,0.00901120223783968
2018,"160201","edu",0.800804832502083,0.0270684937296446
2018,"160202","edu",0.629550183195386,3.59087759527199e-16
2018,"160205","edu",0.801524693407917,8.04911692853239e-16
2018,"160206","edu",0.727008230490164,1.38777878078145e-16
2018,"160210","edu",0.774766912228389,1.63064006741821e-16
2018,"160211","edu",0.753456993270447,0.0216317581565078
2018,"160301","edu",0.776661608541824,0.0158848605716818
2018,"160302","edu",0.719428899875383,1.75554015768853e-15
2018,"160304","edu",0.774957810995215,2.8796409701215e-16
2018,"160401","edu",0.732379636429683,0.0815761678988639
2018,"160403","edu",0.774383752335509,1.42073852682501e-15
2018,"160501","edu",0.766761455395236,0.00284146522993475
2018,"160504","edu",0.777513953338492,8.60422844084496e-16
2018,"160505","edu",0.679838247647092,4.59701721133852e-16
2018,"160507","edu",0.813440870941433,1.26981758441502e-15
2018,"160511","edu",0.687755886873618,6.5399075044326e-16
2018,"160601","edu",0.840503081522078,0.00252725962329991
2018,"160603","edu",0.785348845965368,8.36136715420824e-16
2018,"160605","edu",0.767091046272665,0.0292569725469367
2018,"160606","edu",0.877341218286349,1.57859836313889e-15
2018,"160701","edu",0.796646255902412,0.0140549478647062
2018,"160702","edu",0.833774633397702,1.10588621593522e-15
2018,"160703","edu",0.756095504838251,5.62050406216486e-16
2018,"160704","edu",0.621356600915505,1.82145964977564e-16
2018,"160706","edu",0.661740715599149,8.22258927613008e-16
2019,"160101","edu",0.87017404932091,0.0114323659654371
2019,"160103","edu",0.774325963006275,0.0155950105152303
2019,"160104","edu",0.72259130977872,0.00361267912264662
2019,"160105","edu",0.794804210993183,1.56125112837912e-16
2019,"160106","edu",0.770622295736963,0.018995455893752
2019,"160108","edu",0.872250875182781,0.00651960703588156
2019,"160110","edu",0.684848896225046,0.0162398360371645
2019,"160112","edu",0.832650592181634,0.014874566486135
2019,"160113","edu",0.851219316257306,0.00927881383910521
2019,"160201","edu",0.806344996223581,0.0145785340910071
2019,"160202","edu",0.689984700252196,9.54097911787244e-17
2019,"160205","edu",0.636058565396706,4.33680868994201e-17
2019,"160206","edu",0.789002635301135,1.00613961606655e-16
2019,"160210","edu",0.695781390232743,7.3205330686221e-16
2019,"160211","edu",0.760423882812215,0.0545674677313078
2019,"160301","edu",0.771745190971456,0.0292012212325316
2019,"160302","edu",0.720654693679422,1.04083408558609e-16
2019,"160304","edu",0.819094813311725,1.16573417585641e-15
2019,"160401","edu",0.795664240123101,0.0146740077164393
2019,"160403","edu",0.835939082849396,7.07767178198538e-16
2019,"160501","edu",0.756812562804659,0.0139945987787003
2019,"160504","edu",0.815904375277021,2.18575157973078e-16
2019,"160505","edu",0.735235002389599,8.67361737988401e-16
2019,"160507","edu",0.78085656551976,6.76542155630954e-16
2019,"160511","edu",0.774319401887997,9.10729824887825e-16
2019,"160601","edu",0.871488730439776,0.0110813148434257
2019,"160603","edu",0.778285169444434,1.00613961606655e-16
2019,"160605","edu",0.789615540864162,0.0389514714141153
2019,"160606","edu",0.841449187640401,6.04551131377916e-16
2019,"160701","edu",0.808971971090697,0.00199996537818309
2019,"160702","edu",0.715547033233657,8.46545056276684e-16
2019,"160703","edu",0.717637255659479,1.10501885419722e-15
2019,"160704","edu",0.654091636433453,2.8796409701215e-16
2019,"160706","edu",0.758584447135071,5.51642065360625e-16
2020,"160101","edu",0.860894486573627,0.013355431695746
2020,"160103","edu",0.812151656743318,6.59855696160925e-05
2020,"160104","edu",0.847385960579584,0.0106902509697436
2020,"160105","edu",0.784056487872189,3.03576608295942e-16
2020,"160106","edu",0.741403137877662,0.0303912812728983
2020,"160108","edu",0.826508897704254,0.0118795831562377
2020,"160110","edu",0.811723233570707,0.0232447672047439
2020,"160112","edu",0.841874313664099,0.0153567133635671
2020,"160113","edu",0.832365065785341,0.021276448910386
2020,"160201","edu",0.833472085939074,0.0186273751860291
2020,"160202","edu",0.688025630903097,0.0502704666345702
2020,"160205","edu",0.825861223172914,6.03683769639928e-16
2020,"160206","edu",0.760266925919948,9.03790930983913e-16
2020,"160210","edu",0.654392429242411,1.04256880906206e-15
2020,"160211","edu",0.615201089573998,1.21430643318376e-16
2020,"160301","edu",0.793606728539383,0.0383707918451227
2020,"160304","edu",0.756224672825211,1.32879818259824e-15
2020,"160305","edu",0.807702110016924,2.32452945780891e-16
2020,"160401","edu",0.767767393934519,0.038015383601545
2020,"160403","edu",0.816947260257328,2.68882138776404e-16
2020,"160501","edu",0.799547650597384,0.0368349369099702
2020,"160504","edu",0.860038611505667,6.32306706993543e-16
2020,"160505","edu",0.734258309781061,4.00721122950642e-16
2020,"160507","edu",0.821836377848717,1.61849700308636e-15
2020,"160510","edu",0.765118215098137,2.11636264069171e-16
2020,"160511","edu",0.775885539972242,5.90673343570102e-16
2020,"160601","edu",0.777586002813586,0.0136411448038852
2020,"160602","edu",0.776126847460533,1.11022302462516e-16
2020,"160603","edu",0.819163102808649,5.3776427755281e-17
2020,"160605","edu",0.758186822772163,0.0232839721209002
2020,"160701","edu",0.793687071887042,0.0518869789134396
2020,"160703","edu",0.674570720008197,2.39391839684801e-16
2020,"160704","edu",0.617720478886211,2.51534904016638e-16
2020,"160706","edu",0.584715811449085,0.0519858746765938
2020,"160801","edu",0.849001621856211,4.87457296749483e-16
2010,"160101","wi",0.295522070080942,0.0784060688193351
2010,"160103","wi",1.00000000000001,4.52652211444545e-15
2010,"160107","wi",1,3.10862446895044e-15
2010,"160108","wi",0.544161015720459,0.219439218684202
2010,"160112","wi",0.628289372063295,0.196559316014803
2010,"160113","wi",0.674262654705512,0.145091553317431
2010,"160201","wi",0.727272727272729,1.99232991215936e-15
2010,"160206","wi",0.999999999999998,2.44249065417533e-15
2010,"160301","wi",0.811460009448484,0.107311442339616
2010,"160302","wi",0.999999999999996,3.88578058618803e-15
2010,"160305","wi",0.999999999999999,1.11022302462516e-15
2010,"160403","wi",1,3.10862446895043e-15
2010,"160404","wi",1,6.66133814775094e-16
2010,"160501","wi",0.952521857279607,0.0248551737096526
2010,"160504","wi",1,0
2010,"160601","wi",0.981818181818186,3.89532156530592e-15
2010,"160604","wi",0.91666666666667,3.06872582900297e-15
