"year","ubigeo","enfermedad","n","pop_landscan","malaria_incidence"
2012,"160704",1,1,5389.3,0.18555285473067
2012,"160705",0,753,8404.7,89.592727878449
2012,"160705",1,453,8404.7,53.8984139826526
2012,"160706",0,600,5811.5,103.243568786028
2012,"160706",1,60,5811.5,10.3243568786028
2012,"160801",0,75,1878.5,39.925472451424
2012,"160801",1,2,1878.5,1.06467926537131
2013,"160101",0,2162,194034.1,11.1423713666825
2013,"160101",1,407,194034.1,2.09756944784448
2013,"160102",0,1176,6522.4,180.301729424752
2013,"160102",1,461,6522.4,70.6795044768797
2013,"160103",0,601,4689.7,128.153186771009
2013,"160103",1,13,4689.7,2.77203232616159
2013,"160104",0,482,3891,123.875610382935
2013,"160104",1,24,3891,6.1680801850424
2013,"160105",0,226,2769,81.6179126038281
2013,"160105",1,10,2769,3.61141206211629
2013,"160106",0,1504,3768.5,399.097784264296
2013,"160106",1,467,3768.5,123.921984874619
2013,"160107",0,1578,8770.1,179.929533300647
2013,"160107",1,194,8770.1,22.1206143601555
2013,"160108",0,2703,106087.6,25.4789438162424
2013,"160108",1,363,106087.6,3.42170055689826
2013,"160110",0,116,2753.4,42.1297305149996
2013,"160110",1,3,2753.4,1.08956199607758
2013,"160112",0,678,29276.1,23.158822384129
2013,"160112",1,139,29276.1,4.74790016429784
2013,"160113",0,6291,124713.9,50.4434549797577
2013,"160113",1,884,124713.9,7.08822352600632
2013,"160201",0,158,63763.2,2.4779182977015
2013,"160201",1,3,63763.2,0.0470490816019271
2013,"160202",0,45,2285.3,19.6910690062574
2013,"160205",0,1,5465.9,0.182952487239064
2013,"160206",0,195,17830.5,10.9363169849415
2013,"160210",0,11,2210.8,4.97557445268681
2013,"160211",0,44,4988.2,8.82081712842308
2013,"160301",0,1257,16499.4,76.184588530492
2013,"160301",1,102,16499.4,6.18204298338121
2013,"160302",0,43,5691.2,7.55552431824571
2013,"160302",1,3,5691.2,0.527129603598538
2013,"160303",0,2213,10933.7,202.401748721842
2013,"160303",1,1390,10933.7,127.129882839295
2013,"160304",0,916,20933.3,43.7580314618335
2013,"160304",1,166,20933.3,7.9299489330397
2013,"160305",0,276,6667.8,41.3929631962566
2013,"160305",1,192,6667.8,28.7951048321785
2013,"160401",0,3515,12181.1,288.561788344238
2013,"160401",1,470,12181.1,38.5843643020745
2013,"160402",0,583,12964,44.970688059241
2013,"160402",1,111,12964,8.56217216908362
2013,"160403",0,3203,12535.7,255.510262689758
2013,"160403",1,1037,12535.7,82.7237409957162
2013,"160404",0,393,14330.5,27.4240256794948
2013,"160404",1,48,14330.5,3.34949931963295
2013,"160501",0,58,18163.5,3.19321716629504
2013,"160501",1,6,18163.5,0.330332810306384
2013,"160502",0,137,3344.4,40.9639995215883
2013,"160502",1,127,3344.4,37.9739265638082
2013,"160503",0,1,1523.1,0.656555708751888
2013,"160504",0,16,5655.3,2.82920446307004
2013,"160504",1,2,5655.3,0.353650557883755
2013,"160506",0,6,3157.6,1.90017734988599
2013,"160506",1,1,3157.6,0.316696224980998
2013,"160507",0,15,1238.3,12.1133812484858
2013,"160507",1,1,1238.3,0.807558749899055
2013,"160508",0,418,1448,288.674033149171
2013,"160508",1,177,1448,122.237569060773
2013,"160509",0,94,1309.5,71.7831233295151
2013,"160509",1,10,1309.5,7.63650248186331
2013,"160510",0,5,5931.7,0.842928671375828
2013,"160511",0,593,4560.8,130.021048938783
2013,"160511",1,44,4560.8,9.64743027539028
2013,"160601",0,10,28475.4,0.35118031704559
2013,"160604",0,1,5285.4,0.189200438945018
2013,"160605",0,4,16269.6,0.245857304420514
2013,"160606",0,1,6030.7,0.165818230056212
2013,"160701",0,77,10222.5,7.53240401076058
2013,"160701",1,2,10222.5,0.195646857422353
2013,"160702",0,2,3023.6,0.661463156502183
2013,"160703",0,17,9762.7,1.74132156063384
2013,"160704",0,299,6780.7,44.0957423274883
2013,"160704",1,2,6780.7,0.294954798177179
2013,"160705",0,1643,9455.8,173.755790097083
2013,"160705",1,840,9455.8,88.8343662090992
2013,"160706",0,1917,8795.5,217.952362003297
2013,"160706",1,199,8795.5,22.6252060712865
2013,"160801",0,143,3954.2,36.1640787011279
