"year","ubigeo","index","estimate","se"
2016,"160401","edu",0.686999792518936,0.0340711073823972
2016,"160402","edu",0.780011061993942,3.98986399474664e-16
2016,"160404","edu",0.684388521000564,0.0153996940482943
2016,"160501","edu",0.790656157260397,0.0292500025546744
2016,"160601","edu",0.871112996641307,0.0264358440720492
2016,"160603","edu",0.776736414782969,0.0101511675548615
2016,"160604","edu",0.730139352221081,6.80011602582909e-16
2016,"160605","edu",0.789687452704195,0.0523308667746419
2016,"160701","edu",0.746848090907606,0.0270892083954771
2016,"160702","edu",0.66295801398319,7.14706072102445e-16
2016,"160703","edu",0.661628732365939,6.26235174827628e-16
2016,"160704","edu",0.642694961043426,0.02513355818417
2018,"160101","edu",0.872064507087283,0.00795894451440214
2018,"160103","edu",0.74544304291845,0.0200868967728085
2018,"160104","edu",0.739070595260275,0.0270125881785931
2018,"160105","edu",0.573100487220958,3.76434994286967e-16
2018,"160106","edu",0.766848852832118,0.0174145136166587
2018,"160108","edu",0.848682228974969,0.0171613852823969
2018,"160110","edu",0.752924803312579,0.00842594774951918
2018,"160112","edu",0.810823063010343,0.0215878732206569
2018,"160113","edu",0.825286930919211,0.00901120223783968
2018,"160201","edu",0.800804832502083,0.0270684937296446
2018,"160202","edu",0.629550183195386,3.59087759527199e-16
2018,"160205","edu",0.801524693407917,8.04911692853239e-16
2018,"160206","edu",0.727008230490164,1.38777878078145e-16
2018,"160210","edu",0.774766912228389,1.63064006741821e-16
2018,"160211","edu",0.753456993270447,0.0216317581565078
2018,"160301","edu",0.776661608541824,0.0158848605716818
2018,"160302","edu",0.719428899875383,1.75554015768853e-15
2018,"160304","edu",0.774957810995215,2.8796409701215e-16
2018,"160401","edu",0.732379636429683,0.0815761678988639
2018,"160403","edu",0.774383752335509,1.42073852682501e-15
2018,"160501","edu",0.766761455395236,0.00284146522993475
2018,"160504","edu",0.777513953338492,8.60422844084496e-16
2018,"160505","edu",0.679838247647092,4.59701721133852e-16
2018,"160507","edu",0.813440870941433,1.26981758441502e-15
2018,"160511","edu",0.687755886873618,6.5399075044326e-16
2018,"160601","edu",0.840503081522078,0.00252725962329991
2018,"160603","edu",0.785348845965368,8.36136715420824e-16
2018,"160605","edu",0.767091046272665,0.0292569725469367
2018,"160606","edu",0.877341218286349,1.57859836313889e-15
2018,"160701","edu",0.796646255902412,0.0140549478647062
2018,"160702","edu",0.833774633397702,1.10588621593522e-15
2018,"160703","edu",0.756095504838251,5.62050406216486e-16
2018,"160704","edu",0.621356600915505,1.82145964977564e-16
2018,"160706","edu",0.661740715599149,8.22258927613008e-16
2020,"160101","edu",0.860894486573627,0.013355431695746
2020,"160103","edu",0.812151656743318,6.59855696160925e-05
2020,"160104","edu",0.847385960579584,0.0106902509697436
2020,"160105","edu",0.784056487872189,3.03576608295942e-16
2020,"160106","edu",0.741403137877662,0.0303912812728983
2020,"160108","edu",0.826508897704254,0.0118795831562377
2020,"160110","edu",0.811723233570707,0.0232447672047439
2020,"160112","edu",0.841874313664099,0.0153567133635671
